date,channel,geo,ad_format,impressions,clicks,revenue,ecpm,fill_rate
2026-01-01,AdMob,US,Banner,240590,5001,629.58,2.7799,0.9413
2026-01-01,AdMob,US,Interstitial,44840,1028,296.49,7.9152,0.8354
2026-01-01,AdMob,US,Rewarded,77275,1835,809.0,13.2806,0.7883
2026-01-01,AdMob,US,Native,137466,2401,583.64,5.6077,0.7571
2026-01-01,AdMob,IN,Banner,376509,6901,70.35,0.2412,0.7747
2026-01-01,AdMob,IN,Interstitial,82684,1565,44.54,0.7423,0.7256
2026-01-01,AdMob,IN,Rewarded,118418,2381,102.28,1.2684,0.6809
2026-01-01,AdMob,IN,Native,205544,3569,70.14,0.5092,0.6701
2026-01-01,AdMob,BR,Banner,130427,2930,45.52,0.3923,0.8896
2026-01-01,AdMob,BR,Interstitial,28241,551,25.63,1.1034,0.8224
2026-01-01,AdMob,BR,Rewarded,39897,928,52.33,1.7983,0.7294
2026-01-01,AdMob,BR,Native,69572,1402,42.77,0.8673,0.7089
2026-01-01,AdMob,ID,Banner,202802,4502,25.78,0.1687,0.7538
2026-01-01,AdMob,ID,Interstitial,45273,1058,20.24,0.6474,0.6907
2026-01-01,AdMob,ID,Rewarded,52592,978,27.5,0.8453,0.6185
2026-01-01,AdMob,ID,Native,96660,1822,24.49,0.4008,0.6321
2026-01-01,AdMob,DE,Banner,93428,2094,134.9,1.6641,0.8677
2026-01-01,AdMob,DE,Interstitial,17447,306,92.48,6.0356,0.8783
2026-01-01,AdMob,DE,Rewarded,25549,557,185.26,8.7705,0.8268
2026-01-01,AdMob,DE,Native,54069,915,143.62,3.522,0.7542
2026-01-01,AdMob,JP,Banner,138616,2288,221.18,1.8444,0.8651
2026-01-01,AdMob,JP,Interstitial,23582,497,116.77,5.7902,0.8552
2026-01-01,AdMob,JP,Rewarded,41856,908,285.41,8.95,0.7619
2026-01-01,AdMob,JP,Native,67389,1344,220.11,4.2515,0.7683
2026-01-01,Unity,US,Banner,176193,2971,388.03,2.513,0.8763
2026-01-01,Unity,US,Interstitial,30080,603,225.3,8.7319,0.8578
2026-01-01,Unity,US,Rewarded,58919,1298,585.52,12.1107,0.8206
2026-01-01,Unity,US,Native,80380,1389,335.16,5.4466,0.7656
2026-01-01,Unity,IN,Banner,316094,7261,63.66,0.2548,0.7904
2026-01-01,Unity,IN,Interstitial,61101,1241,35.28,0.7499,0.7701
2026-01-01,Unity,IN,Rewarded,91747,1548,81.89,1.2951,0.6892
2026-01-01,Unity,IN,Native,128573,2942,48.54,0.5518,0.6841
2026-01-01,Unity,BR,Banner,89468,1590,27.21,0.3608,0.843
2026-01-01,Unity,BR,Interstitial,18605,345,18.22,1.161,0.8433
2026-01-01,Unity,BR,Rewarded,31677,753,44.77,1.8731,0.7546
2026-01-01,Unity,BR,Native,59783,1100,34.47,0.7983,0.7223
2026-01-01,Unity,ID,Banner,130963,2622,15.57,0.1633,0.7279
2026-01-01,Unity,ID,Interstitial,24232,434,9.89,0.5734,0.7119
2026-01-01,Unity,ID,Rewarded,37525,673,22.9,0.8981,0.6795
2026-01-01,Unity,ID,Native,73614,1606,19.39,0.442,0.5959
2026-01-01,Unity,DE,Banner,67223,1363,103.84,1.6937,0.912
2026-01-01,Unity,DE,Interstitial,12279,214,60.51,5.8688,0.8397
2026-01-01,Unity,DE,Rewarded,18106,292,125.38,8.4,0.8244
2026-01-01,Unity,DE,Native,35126,611,99.22,3.6394,0.7761
2026-01-01,Unity,JP,Banner,92512,1581,149.47,1.7592,0.9184
2026-01-01,Unity,JP,Interstitial,16665,383,80.41,5.5362,0.8715
2026-01-01,Unity,JP,Rewarded,24343,497,184.75,9.288,0.8171
2026-01-01,Unity,JP,Native,44139,1023,126.16,3.9832,0.7176
2026-01-01,AppLovin,US,Banner,140015,2631,331.79,2.6179,0.9052
2026-01-01,AppLovin,US,Interstitial,26694,593,222.35,9.1751,0.9078
2026-01-01,AppLovin,US,Rewarded,39097,906,365.61,11.6896,0.8
2026-01-01,AppLovin,US,Native,64495,1374,259.85,5.3659,0.7508
2026-01-01,AppLovin,IN,Banner,170303,3667,29.86,0.2237,0.7838
2026-01-01,AppLovin,IN,Interstitial,41823,748,23.92,0.7559,0.7567
2026-01-01,AppLovin,IN,Rewarded,56857,1295,51.01,1.2592,0.7125
2026-01-01,AppLovin,IN,Native,104728,1983,37.81,0.5677,0.6361
2026-01-01,AppLovin,BR,Banner,69717,1334,21.2,0.3416,0.8902
2026-01-01,AppLovin,BR,Interstitial,16764,335,17.16,1.2315,0.8313
2026-01-01,AppLovin,BR,Rewarded,23019,501,30.69,1.7973,0.7417
2026-01-01,AppLovin,BR,Native,35033,610,19.52,0.7601,0.733
2026-01-01,AppLovin,ID,Banner,113213,2146,16.67,0.1963,0.7499
2026-01-01,AppLovin,ID,Interstitial,17092,405,7.56,0.6514,0.6791
2026-01-01,AppLovin,ID,Rewarded,34172,652,20.9,0.9635,0.6347
2026-01-01,AppLovin,ID,Native,55267,1130,13.23,0.4046,0.5918
2026-01-01,AppLovin,DE,Banner,56542,948,87.87,1.7147,0.9063
2026-01-01,AppLovin,DE,Interstitial,10345,208,51.49,6.0391,0.8242
2026-01-01,AppLovin,DE,Rewarded,16698,361,119.26,8.6473,0.826
2026-01-01,AppLovin,DE,Native,23946,538,69.71,3.6911,0.7887
2026-01-01,AppLovin,JP,Banner,69382,1388,119.12,1.9488,0.881
2026-01-01,AppLovin,JP,Interstitial,13618,304,71.78,6.18,0.8529
2026-01-01,AppLovin,JP,Rewarded,20943,350,142.65,8.7084,0.7821
2026-01-01,AppLovin,JP,Native,31983,650,90.84,3.8102,0.7454
2026-01-01,ironSource,US,Banner,93596,1525,213.07,2.5963,0.8768
2026-01-01,ironSource,US,Interstitial,21935,442,152.49,8.2623,0.8414
2026-01-01,ironSource,US,Rewarded,32429,541,326.86,12.0253,0.8382
2026-01-01,ironSource,US,Native,43275,913,203.44,5.9873,0.7852
2026-01-01,ironSource,IN,Banner,170852,3175,35.08,0.2628,0.7813
2026-01-01,ironSource,IN,Interstitial,34833,579,19.58,0.7633,0.7365
2026-01-01,ironSource,IN,Rewarded,41165,887,39.16,1.311,0.7256
2026-01-01,ironSource,IN,Native,77814,1400,26.08,0.5234,0.6402
2026-01-01,ironSource,BR,Banner,60886,1110,19.74,0.3755,0.8636
2026-01-01,ironSource,BR,Interstitial,13637,284,13.92,1.2571,0.8119
2026-01-01,ironSource,BR,Rewarded,17565,387,22.64,1.7092,0.754
2026-01-01,ironSource,BR,Native,25629,418,13.71,0.7755,0.6897
2026-01-01,ironSource,ID,Banner,88531,1485,11.91,0.1873,0.7181
2026-01-01,ironSource,ID,Interstitial,15959,310,6.3,0.5968,0.6616
2026-01-01,ironSource,ID,Rewarded,23269,380,14.07,0.9209,0.6568
2026-01-01,ironSource,ID,Native,38495,879,10.15,0.4306,0.6122
2026-01-01,ironSource,DE,Banner,41904,885,55.54,1.5388,0.8614
2026-01-01,ironSource,DE,Interstitial,6863,141,34.27,5.5944,0.8926
2026-01-01,ironSource,DE,Rewarded,11597,236,79.39,8.4864,0.8066
2026-01-01,ironSource,DE,Native,22648,526,68.19,3.7623,0.8003
2026-01-01,ironSource,JP,Banner,45436,733,63.15,1.645,0.8449
2026-01-01,ironSource,JP,Interstitial,8783,162,43.71,6.2196,0.8002
2026-01-01,ironSource,JP,Rewarded,16551,302,110.08,8.1419,0.8169
2026-01-01,ironSource,JP,Native,22136,509,73.21,4.3653,0.7576
2026-01-02,AdMob,US,Banner,267630,4661,651.45,2.7048,0.8999
2026-01-02,AdMob,US,Interstitial,53759,1037,444.68,9.0216,0.9169
2026-01-02,AdMob,US,Rewarded,72120,1690,790.67,13.4549,0.8148
2026-01-02,AdMob,US,Native,138440,3050,650.93,5.8655,0.8016
2026-01-02,AdMob,IN,Banner,352374,7967,71.31,0.2593,0.7804
2026-01-02,AdMob,IN,Interstitial,75681,1217,47.88,0.8633,0.7328
2026-01-02,AdMob,IN,Rewarded,134593,3176,102.23,1.1019,0.6893
2026-01-02,AdMob,IN,Native,227036,4447,86.66,0.5682,0.6717
2026-01-02,AdMob,BR,Banner,140694,3097,42.29,0.3477,0.8647
2026-01-02,AdMob,BR,Interstitial,32624,651,32.08,1.2695,0.7745
2026-01-02,AdMob,BR,Rewarded,39027,901,53.96,1.8178,0.7605
2026-01-02,AdMob,BR,Native,71645,1582,38.72,0.7757,0.6967
2026-01-02,AdMob,ID,Banner,207093,4474,23.67,0.1656,0.6901
2026-01-02,AdMob,ID,Interstitial,34873,580,15.55,0.6386,0.6981
2026-01-02,AdMob,ID,Rewarded,52527,996,33.19,0.9876,0.6399
2026-01-02,AdMob,ID,Native,109383,2409,32.12,0.4576,0.6417
2026-01-02,AdMob,DE,Banner,96287,1970,134.71,1.5126,0.9249
2026-01-02,AdMob,DE,Interstitial,19545,389,95.52,5.947,0.8218
2026-01-02,AdMob,DE,Rewarded,25602,433,162.47,8.1983,0.7741
2026-01-02,AdMob,DE,Native,44262,914,137.56,3.9649,0.7838
2026-01-02,AdMob,JP,Banner,142331,3266,215.1,1.755,0.8611
2026-01-02,AdMob,JP,Interstitial,22926,544,119.52,6.5559,0.7952
2026-01-02,AdMob,JP,Rewarded,32360,774,249.4,9.7041,0.7942
2026-01-02,AdMob,JP,Native,54508,1100,181.21,4.2452,0.7831
2026-01-02,Unity,US,Banner,181793,3821,441.17,2.6498,0.9158
2026-01-02,Unity,US,Interstitial,35885,654,274.89,9.182,0.8343
2026-01-02,Unity,US,Rewarded,59593,1249,675.22,13.7452,0.8243
2026-01-02,Unity,US,Native,81656,1537,354.95,5.5789,0.7792
2026-01-02,Unity,IN,Banner,287027,6856,51.53,0.2197,0.817
2026-01-02,Unity,IN,Interstitial,59329,1335,34.75,0.8058,0.7269
2026-01-02,Unity,IN,Rewarded,88655,2001,72.51,1.119,0.7308
2026-01-02,Unity,IN,Native,158891,3073,62.36,0.5853,0.6705
2026-01-02,Unity,BR,Banner,118630,1923,37.19,0.3864,0.8113
2026-01-02,Unity,BR,Interstitial,20221,347,21.83,1.2745,0.8468
2026-01-02,Unity,BR,Rewarded,32389,736,45.58,1.7571,0.8009
2026-01-02,Unity,BR,Native,57828,1051,34.58,0.8347,0.7163
2026-01-02,Unity,ID,Banner,121367,2912,17.4,0.1931,0.7425
2026-01-02,Unity,ID,Interstitial,32171,757,13.71,0.6067,0.7024
2026-01-02,Unity,ID,Rewarded,46405,790,25.57,0.8545,0.6448
